EXAMPLE_ID,IS_VALID,SCORE,PREDICTED_RULE
anomaly_0459,1,0.9995,
anomaly_0507,1,0.9995,
anomaly_0057,1,0.9996,
anomaly_0054,0,0.0097,RULE_TEST_BEFORE_PASSIVATION
anomaly_0386,1,0.9981,
anomaly_0420,1,0.9989,
anomaly_0828,0,0.1322,RULE_PAD_OPEN_BEFORE_DEP
anomaly_0899,0,0.2292,RULE_CMP_NO_DEP
anomaly_0867,0,0.0017,RULE_LITHO_LEVEL_SKIP
anomaly_0427,0,0.0004,RULE_TEST_BEFORE_PASSIVATION
anomaly_0290,0,0.0027,RULE_METAL_ETCH_NO_LITHO
anomaly_0922,0,0.0025,RULE_TEST_BEFORE_PASSIVATION
anomaly_0504,1,0.9993,
anomaly_0840,0,0.0971,RULE_PAD_OPEN_BEFORE_DEP
anomaly_0444,0,0.0000,RULE_SHIP_BEFORE_TEST
anomaly_0077,1,0.9996,
anomaly_0178,1,0.9996,
anomaly_0976,1,0.9971,
anomaly_0754,1,0.9996,
anomaly_0412,0,0.1491,RULE_PAD_OPEN_BEFORE_DEP
anomaly_0866,1,0.9992,
anomaly_0937,1,0.9936,
anomaly_0928,1,0.9997,
anomaly_0721,1,0.9336,
anomaly_0366,1,0.9992,
anomaly_0849,0,0.2918,RULE_CMP_NO_DEP
anomaly_0034,1,0.9988,
anomaly_0273,1,0.9997,
anomaly_0975,0,0.0051,RULE_LITHO_LEVEL_SKIP
anomaly_0175,1,0.9984,
anomaly_0711,1,0.9996,
anomaly_0402,1,0.9928,
anomaly_0761,1,0.9995,
anomaly_0582,1,0.9995,
anomaly_0497,1,0.9996,
anomaly_0628,1,0.9996,
anomaly_0185,0,0.1608,RULE_PAD_OPEN_BEFORE_DEP
anomaly_0491,1,0.9979,
anomaly_0360,0,0.0010,RULE_LITHO_LEVEL_SKIP
anomaly_0960,0,0.0030,RULE_METAL_ETCH_NO_LITHO
anomaly_0263,0,0.0010,RULE_TEST_BEFORE_PASSIVATION
anomaly_0848,1,0.9998,
anomaly_0326,1,0.9994,
anomaly_0050,0,0.0241,RULE_ETCH_NO_MASK
anomaly_0631,1,0.9996,
anomaly_0846,1,0.9996,
anomaly_0983,1,0.9997,
anomaly_0753,0,0.0024,RULE_BACKSIDE_BEFORE_PASSIVATION
anomaly_0630,1,0.9997,
anomaly_0232,1,0.9972,
anomaly_0222,1,0.9996,
anomaly_0790,1,0.9995,
anomaly_0186,1,0.9994,
anomaly_0821,1,0.9995,
anomaly_0230,1,0.9996,
anomaly_0623,0,0.0035,RULE_METAL_ETCH_NO_LITHO
anomaly_0458,0,0.2442,RULE_CMP_NO_DEP
anomaly_0356,0,0.0000,RULE_SHIP_BEFORE_TEST
anomaly_0086,0,0.0149,RULE_CMP_NO_DEP
anomaly_0574,0,0.0014,RULE_BACKSIDE_BEFORE_PASSIVATION
anomaly_0890,1,0.9995,
anomaly_0019,1,0.9981,
anomaly_0228,0,0.1227,RULE_PAD_OPEN_BEFORE_DEP
anomaly_0201,1,0.9990,
anomaly_0337,1,0.9995,
anomaly_0572,1,0.9996,
anomaly_0017,0,0.0057,RULE_METAL_ETCH_NO_LITHO
anomaly_0002,0,0.0003,RULE_TEST_BEFORE_PASSIVATION
anomaly_0039,1,0.9990,
anomaly_0799,0,0.0000,RULE_SHIP_BEFORE_TEST
anomaly_0508,1,0.9988,
anomaly_0335,1,0.9998,
anomaly_0516,1,0.9996,
anomaly_0331,1,0.9996,
anomaly_0905,0,0.0261,RULE_DEP_NO_CLEAN
anomaly_0540,0,0.0000,RULE_SHIP_BEFORE_TEST
anomaly_0692,0,0.0007,RULE_METAL_ETCH_NO_LITHO
anomaly_0616,0,0.0003,RULE_LITHO_LEVEL_SKIP
anomaly_0834,0,0.1015,RULE_ETCH_NO_MASK
anomaly_0814,1,0.9997,
anomaly_0257,1,0.9997,
anomaly_0486,1,0.9995,
anomaly_0373,1,0.9996,
anomaly_0735,1,0.9997,
anomaly_0361,1,0.9996,
anomaly_0532,1,0.9996,
anomaly_0025,1,0.9908,
anomaly_0685,1,0.9994,
anomaly_0425,0,0.0035,RULE_BACKSIDE_BEFORE_PASSIVATION
anomaly_0467,1,0.9997,
anomaly_0870,1,0.9994,
anomaly_0035,1,0.9995,
anomaly_0626,1,0.9996,
anomaly_0300,1,0.9988,
anomaly_0190,0,0.0071,RULE_TEST_BEFORE_PASSIVATION
anomaly_0212,0,0.0033,RULE_METAL_ETCH_NO_LITHO
anomaly_0496,1,0.9992,
anomaly_0661,1,0.9996,
anomaly_0537,1,0.9996,
anomaly_0927,1,0.9996,
anomaly_0894,0,0.0000,RULE_SHIP_BEFORE_TEST
anomaly_0752,0,0.0005,RULE_LITHO_LEVEL_SKIP
anomaly_0654,0,0.0405,RULE_DEP_NO_CLEAN
anomaly_0381,1,0.9993,
anomaly_0595,0,0.0000,RULE_SHIP_BEFORE_TEST
anomaly_0629,1,0.9997,
anomaly_0399,0,0.0041,RULE_METAL_ETCH_NO_LITHO
anomaly_0472,0,0.0033,RULE_TEST_BEFORE_PASSIVATION
anomaly_0283,1,0.9997,
anomaly_0801,1,0.9996,
anomaly_0029,1,0.9996,
anomaly_0811,0,0.0016,RULE_LITHO_LEVEL_SKIP
anomaly_0807,1,0.9990,
anomaly_0455,1,0.9995,
anomaly_0196,1,0.9995,
anomaly_0428,1,0.9996,
anomaly_0558,1,0.9996,
anomaly_0473,1,0.9995,
anomaly_0151,0,0.1302,RULE_PAD_OPEN_BEFORE_DEP
anomaly_0653,1,0.9995,
anomaly_0457,0,0.0841,RULE_PAD_OPEN_BEFORE_DEP
anomaly_0785,1,0.9995,
anomaly_0674,0,0.0163,RULE_DEP_NO_CLEAN
anomaly_0328,0,0.0011,RULE_TEST_BEFORE_PASSIVATION
anomaly_0387,0,0.0157,RULE_IMPLANT_NO_MASK
anomaly_0636,0,0.0022,RULE_LITHO_LEVEL_SKIP
anomaly_0529,1,0.9994,
anomaly_0897,1,0.9940,
anomaly_0725,1,0.9984,
anomaly_0824,0,0.1361,RULE_PAD_OPEN_BEFORE_DEP
anomaly_0355,1,0.9996,
anomaly_0401,1,0.9997,
anomaly_0199,0,0.0485,RULE_IMPLANT_NO_MASK
anomaly_0404,1,0.9995,
anomaly_0067,0,0.0034,RULE_LITHO_LEVEL_SKIP
anomaly_0351,1,0.9997,
anomaly_0354,0,0.0384,RULE_DEP_NO_CLEAN
anomaly_0359,1,0.9997,
anomaly_0908,0,0.0064,RULE_METAL_ETCH_NO_LITHO
anomaly_0819,0,0.1451,RULE_PAD_OPEN_BEFORE_DEP
anomaly_0327,0,0.0028,RULE_LITHO_LEVEL_SKIP
anomaly_0484,1,0.9997,
anomaly_0898,1,0.9988,
anomaly_0615,1,0.9996,
anomaly_0309,0,0.0019,RULE_BACKSIDE_BEFORE_PASSIVATION
anomaly_0150,0,0.0018,RULE_LITHO_LEVEL_SKIP
anomaly_0813,1,0.9997,
anomaly_0252,0,0.0000,RULE_SHIP_BEFORE_TEST
anomaly_0667,1,0.9996,
anomaly_0189,1,0.9990,
anomaly_0948,1,0.9993,
anomaly_0343,0,0.0022,RULE_METAL_ETCH_NO_LITHO
anomaly_0303,1,0.9996,
anomaly_0608,1,0.9997,
anomaly_0743,0,0.0549,RULE_DEP_NO_CLEAN
anomaly_0730,0,0.0008,RULE_TEST_BEFORE_PASSIVATION
anomaly_0917,0,0.0001,RULE_SHIP_BEFORE_TEST
anomaly_0158,1,0.9984,
anomaly_0350,1,0.9992,
anomaly_0393,0,0.0431,RULE_ETCH_NO_MASK
anomaly_0838,1,0.9996,
anomaly_0680,0,0.0018,RULE_BACKSIDE_BEFORE_PASSIVATION
anomaly_0830,1,0.9995,
anomaly_0804,1,0.9996,
anomaly_0881,1,0.9992,
anomaly_0093,1,0.9995,
anomaly_0865,0,0.0022,RULE_BACKSIDE_BEFORE_PASSIVATION
anomaly_0203,1,0.9698,
anomaly_0836,1,0.9998,
anomaly_0248,0,0.0000,RULE_SHIP_BEFORE_TEST
anomaly_0291,1,0.9996,
anomaly_0758,0,0.0026,RULE_METAL_ETCH_NO_LITHO
anomaly_0879,1,0.9981,
anomaly_0130,1,0.9997,
anomaly_0503,0,0.0124,RULE_CMP_NO_DEP
anomaly_0565,1,0.9993,
anomaly_0302,1,0.9997,
anomaly_0468,1,0.9995,
anomaly_0137,1,0.9996,
anomaly_0089,1,0.9994,
anomaly_0912,1,0.9995,
anomaly_0334,0,0.0703,RULE_ETCH_NO_MASK
anomaly_0969,1,0.9988,
anomaly_0431,0,0.0478,RULE_ETCH_NO_MASK
anomaly_0880,1,0.9997,
anomaly_0576,1,0.9996,
