EXAMPLE_ID,FAMILY,COMPLETION_FRACTION,NEXT_STEP
mosfet_0000_60,mosfet,0.6,CLEAN AFTER VIA ETCH
mosfet_0000_80,mosfet,0.8,PASSIVATION ETCH
mosfet_0001_60,mosfet,0.6,CLEAN AFTER VIA ETCH
mosfet_0001_80,mosfet,0.8,PASSIVATION ETCH PAD OPENING
mosfet_0002_60,mosfet,0.6,STRIP PHOTORESIST
mosfet_0002_80,mosfet,0.8,PASSIVATION ETCH
mosfet_0003_60,mosfet,0.6,MEASURE VIA CD
mosfet_0003_80,mosfet,0.8,PASSIVATION ETCH PAD OPENING
mosfet_0004_60,mosfet,0.6,CLEAN AFTER VIA ETCH
mosfet_0004_80,mosfet,0.8,STRIP PHOTORESIST
mosfet_0005_60,mosfet,0.6,DEPOSIT BARRIER METAL
mosfet_0005_80,mosfet,0.8,STRIP PHOTORESIST
mosfet_0006_60,mosfet,0.6,DEPOSIT BARRIER METAL
mosfet_0006_80,mosfet,0.8,STRIP RESIST
mosfet_0007_60,mosfet,0.6,DEPOSIT BARRIER METAL
mosfet_0007_80,mosfet,0.8,STRIP RESIST
mosfet_0008_60,mosfet,0.6,DEPOSIT BARRIER METAL
mosfet_0008_80,mosfet,0.8,CLEAN PAD OPENING
mosfet_0009_60,mosfet,0.6,DEPOSIT BARRIER METAL
mosfet_0009_80,mosfet,0.8,DEVELOP PHOTORESIST
mosfet_0010_60,mosfet,0.6,DEPOSIT BARRIER METAL
mosfet_0010_80,mosfet,0.8,STRIP RESIST
mosfet_0011_60,mosfet,0.6,CLEAN AFTER VIA ETCH
mosfet_0011_80,mosfet,0.8,PASSIVATION ETCH
mosfet_0012_60,mosfet,0.6,STRIP PHOTORESIST
mosfet_0012_80,mosfet,0.8,PASSIVATION ETCH PAD OPENING
mosfet_0013_60,mosfet,0.6,DEPOSIT BARRIER METAL
mosfet_0013_80,mosfet,0.8,STRIP PHOTORESIST
mosfet_0014_60,mosfet,0.6,STRIP PHOTORESIST
mosfet_0014_80,mosfet,0.8,DEVELOP PAD WINDOW
mosfet_0015_60,mosfet,0.6,CLEAN AFTER VIA ETCH
mosfet_0015_80,mosfet,0.8,PASSIVATION ETCH
mosfet_0016_60,mosfet,0.6,MEASURE VIA CD
mosfet_0016_80,mosfet,0.8,STRIP RESIST
mosfet_0017_60,mosfet,0.6,CLEAN AFTER VIA ETCH
mosfet_0017_80,mosfet,0.8,PASSIVATION ETCH
mosfet_0018_60,mosfet,0.6,DEPOSIT BARRIER METAL
mosfet_0018_80,mosfet,0.8,STRIP RESIST
mosfet_0019_60,mosfet,0.6,STRIP PHOTORESIST
