EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
valid_0000,MEASURE VIA CD,DEPOSIT BARRIER METAL,DRY WAFER,DENSIFY OXIDE,DENSIFY DIELECTRIC
valid_0001,CLEAN PAD OPENING,PASSIVATION ETCH PAD OPENING,BACKSIDE ETCH CLEAN,PASSIVATION ETCH,DEPOSIT BACKSIDE METAL
valid_0002,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,HARD BAKE,SPIN COAT PHOTORESIST
valid_0003,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,VIA INSPECTION,VIA OPENING INSPECTION,METAL PATTERN INSPECTION
valid_0004,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,DEPOSIT BARRIER METAL,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH
valid_0005,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,HARD BAKE,METAL ETCH DRY
valid_0006,FILL VIA METAL,FILL VIA TUNGSTEN,DEPOSIT METAL SEED,CMP VIA FILL,FINAL CLEAN
valid_0007,CLEAN PAD OPENING,BACKSIDE ETCH CLEAN,PASSIVATION ETCH PAD OPENING,BACKSIDE ANNEAL,PASSIVATION ETCH
valid_0008,HARD BAKE,VIA ETCH THROUGH DIELECTRIC,DIELECTRIC ETCH VIA,VIA ETCH,OXIDE ETCH
valid_0009,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,PRE ANNEAL CHECK,HARD BAKE
valid_0010,DEPOSIT BARRIER METAL,MEASURE VIA CD,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,FINAL GEOMETRY CHECK
valid_0011,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,CLEAN PAD OPENING,FIELD PATTERN INSPECTION,BACKSIDE GRIND
valid_0012,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN AFTER FIELD ETCH,CLEAN AFTER ETCH,DEPOSIT BARRIER METAL
valid_0013,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,VIA INSPECTION,METAL PATTERN INSPECTION,VIA OPENING INSPECTION
valid_0014,DEPOSIT BARRIER METAL,MEASURE VIA CD,FINAL GEOMETRY CHECK,DEPOSIT POLYSILICON,DRY WAFER
valid_0015,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,HARD BAKE,METAL ETCH DRY
valid_0016,MEASURE VIA CD,DEPOSIT BARRIER METAL,DRY WAFER,DENSIFY OXIDE,DENSIFY DIELECTRIC
valid_0017,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,HARD BAKE,METAL ETCH DRY
valid_0018,CLEAN AFTER VIA ETCH,VIA ETCH,DIELECTRIC ETCH VIA,VIA ETCH THROUGH DIELECTRIC,VIA OPENING INSPECTION
valid_0019,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,VIA OPENING INSPECTION,VIA INSPECTION,YIELD ANALYSIS
valid_0020,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,POLYSILICON ANNEAL,MEASURE BACKSIDE CONTACT,BACKSIDE GRIND
valid_0021,CLEAN PAD OPENING,BACKSIDE ETCH CLEAN,DEPOSIT BACKSIDE METAL,LOT RELEASE,FINAL LOT RELEASE
valid_0022,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER FIELD ETCH,VIA OPENING INSPECTION,VIA INSPECTION
valid_0023,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,CLEAN PAD OPENING,FIELD PATTERN INSPECTION,VIA INSPECTION
valid_0024,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN AFTER FIELD ETCH,VIA ETCH,VIA OPENING INSPECTION
valid_0025,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,CLEAN PAD OPENING,VIA OPENING INSPECTION,VIA INSPECTION
valid_0026,CLEAN AFTER VIA ETCH,CLEAN AFTER FIELD ETCH,CLEAN AFTER POLY ETCH,CLEAN AFTER ETCH,VIA ETCH
valid_0027,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,PRE ANNEAL CHECK,HARD BAKE
valid_0028,CLEAN AFTER VIA ETCH,VIA OPENING INSPECTION,CLEAN AFTER POLY ETCH,VIA ETCH,DIELECTRIC ETCH VIA
valid_0029,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,VIA OPENING INSPECTION,VIA INSPECTION,FIELD PATTERN INSPECTION
valid_0030,DEPOSIT BARRIER METAL,MEASURE VIA CD,BACKSIDE CLEAN,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER
valid_0031,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,HARD BAKE,METAL ETCH DRY
valid_0032,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,HARD BAKE,SPIN COAT PHOTORESIST
valid_0033,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,PRE ANNEAL CHECK,HARD BAKE
valid_0034,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,HARD BAKE,SPIN COAT PHOTORESIST
valid_0035,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,VIA INSPECTION,VIA OPENING INSPECTION,METAL PATTERN INSPECTION
valid_0036,DEPOSIT BARRIER METAL,MEASURE VIA CD,DRY WAFER,DEPOSIT POLYSILICON,FINAL GEOMETRY CHECK
valid_0037,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,HARD BAKE,WAFER SORT TEST
valid_0038,MEASURE VIA CD,DEPOSIT BARRIER METAL,DRY WAFER,DENSIFY OXIDE,DENSIFY DIELECTRIC
valid_0039,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,HARD BAKE,METAL ETCH DRY
valid_0040,MEASURE VIA CD,DEPOSIT BARRIER METAL,DRY WAFER,DENSIFY OXIDE,DENSIFY DIELECTRIC
valid_0041,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,HARD BAKE,DEPOSIT INTERLEVEL DIELECTRIC
valid_0042,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER FIELD ETCH
valid_0043,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,VIA INSPECTION,VIA OPENING INSPECTION,METAL PATTERN INSPECTION
valid_0044,MEASURE VIA CD,DEPOSIT BARRIER METAL,DRY WAFER,DENSIFY OXIDE,DENSIFY DIELECTRIC
valid_0045,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,HARD BAKE,METAL ETCH DRY
valid_0046,MEASURE VIA CD,DEPOSIT BARRIER METAL,DENSIFY OXIDE,DENSIFY DIELECTRIC,DRY WAFER
valid_0047,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,PRE ANNEAL CHECK,HARD BAKE
valid_0048,DEPOSIT BARRIER METAL,MEASURE VIA CD,FINAL GEOMETRY CHECK,POST EXPOSE BAKE,DRY WAFER
valid_0049,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,HARD BAKE,MEASURE LINE WIDTH
valid_0050,MEASURE VIA CD,DEPOSIT BARRIER METAL,DRY WAFER,DENSIFY OXIDE,DENSIFY DIELECTRIC
valid_0051,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,VIA OPENING INSPECTION,VIA INSPECTION,CLEAN PAD OPENING
valid_0052,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,HARD BAKE,SPIN COAT PHOTORESIST
valid_0053,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,PRE ANNEAL CHECK,HARD BAKE
valid_0054,DEPOSIT BARRIER METAL,MEASURE VIA CD,FINAL GEOMETRY CHECK,POST EXPOSE BAKE,DEPOSIT POLYSILICON
valid_0055,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,HARD BAKE,DEVELOP PHOTORESIST
valid_0056,DEPOSIT BARRIER METAL,MEASURE VIA CD,POST EXPOSE BAKE,RAPID THERMAL ANNEAL,FINAL GEOMETRY CHECK
valid_0057,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,HARD BAKE,DENSIFY OXIDE
valid_0058,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN AFTER FIELD ETCH,CLEAN AFTER ETCH,DEPOSIT BARRIER METAL
valid_0059,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,METAL PATTERN INSPECTION,CLEAN PAD OPENING,BACKSIDE GRIND
valid_0060,CLEAN AFTER VIA ETCH,CLEAN AFTER FIELD ETCH,VIA ETCH,DIELECTRIC ETCH VIA,VIA ETCH THROUGH DIELECTRIC
valid_0061,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,PRE ANNEAL CHECK,HARD BAKE
valid_0062,MEASURE VIA CD,DEPOSIT BARRIER METAL,DENSIFY OXIDE,DENSIFY DIELECTRIC,DRY WAFER
valid_0063,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,VIA OPENING INSPECTION,VIA INSPECTION,CLEAN PAD OPENING
valid_0064,DEPOSIT BARRIER METAL,MEASURE VIA CD,CLEAN AFTER VIA ETCH,CMP INTERLAYER DIELECTRIC,DRY WAFER
valid_0065,CLEAN PAD OPENING,BACKSIDE ETCH CLEAN,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,BACKSIDE ANNEAL
valid_0066,MEASURE VIA CD,DEPOSIT BARRIER METAL,DRY WAFER,DENSIFY OXIDE,DENSIFY DIELECTRIC
valid_0067,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,HARD BAKE,METAL ETCH DRY
valid_0068,CLEAN AFTER VIA ETCH,VIA OPENING INSPECTION,VIA INSPECTION,VIA ETCH,DIELECTRIC ETCH VIA
valid_0069,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,VIA OPENING INSPECTION,VIA INSPECTION,CLEAN PAD OPENING
valid_0070,CLEAN AFTER VIA ETCH,VIA ETCH,DIELECTRIC ETCH VIA,VIA ETCH THROUGH DIELECTRIC,VIA OPENING INSPECTION
valid_0071,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,VIA INSPECTION,VIA OPENING INSPECTION,METAL PATTERN INSPECTION
valid_0072,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,HARD BAKE,MEASURE LINE WIDTH
valid_0073,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,VIA INSPECTION,CLEAN PAD OPENING,VIA OPENING INSPECTION
valid_0074,MEASURE VIA CD,DEPOSIT BARRIER METAL,DRY WAFER,DENSIFY OXIDE,DENSIFY DIELECTRIC
valid_0075,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,VIA OPENING INSPECTION,FIELD PATTERN INSPECTION,CLEAN PAD OPENING
valid_0076,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,HARD BAKE,SPIN COAT PHOTORESIST
valid_0077,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,METAL PATTERN INSPECTION,CLEAN PAD OPENING,BACKSIDE GRIND
valid_0078,MEASURE VIA CD,DEPOSIT BARRIER METAL,DRY WAFER,DENSIFY OXIDE,DENSIFY DIELECTRIC
valid_0079,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,HARD BAKE,METAL ETCH DRY
valid_0080,MEASURE VIA CD,DEPOSIT BARRIER METAL,DRY WAFER,DENSIFY OXIDE,DENSIFY DIELECTRIC
valid_0081,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,PRE ANNEAL CHECK,HARD BAKE
valid_0082,MEASURE VIA CD,DEPOSIT BARRIER METAL,DENSIFY OXIDE,DRY WAFER,DENSIFY DIELECTRIC
valid_0083,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,VIA OPENING INSPECTION,VIA INSPECTION,CLEAN PAD OPENING
valid_0084,CLEAN AFTER VIA ETCH,CLEAN AFTER FIELD ETCH,VIA ETCH,VIA OPENING INSPECTION,VIA INSPECTION
valid_0085,CLEAN PAD OPENING,BACKSIDE ETCH CLEAN,CLEAN AFTER VIA ETCH,BACKSIDE ANNEAL,CLEAN AFTER METAL ETCH
valid_0086,DEPOSIT BARRIER METAL,MEASURE VIA CD,DEPOSIT POLYSILICON,FINAL GEOMETRY CHECK,DRY WAFER
valid_0087,CLEAN PAD OPENING,PASSIVATION ETCH PAD OPENING,BACKSIDE ETCH CLEAN,PASSIVATION ETCH,DEPOSIT BACKSIDE METAL
valid_0088,CLEAN AFTER VIA ETCH,VIA OPENING INSPECTION,CLEAN AFTER FIELD ETCH,VIA ETCH,VIA INSPECTION
valid_0089,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,VIA INSPECTION,VIA OPENING INSPECTION,SHIP LOT
valid_0090,MEASURE VIA CD,DEPOSIT BARRIER METAL,DENSIFY DIELECTRIC,DENSIFY OXIDE,DRY WAFER
valid_0091,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,HARD BAKE,METAL ETCH DRY
valid_0092,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN AFTER FIELD ETCH,CLEAN AFTER ETCH,VIA ETCH
valid_0093,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,HARD BAKE,PRE ANNEAL CHECK
valid_0094,DEPOSIT METAL SEED,BACKSIDE GRIND,DEPOSIT TUNGSTEN SEED,FILL VIA METAL,LIGHT ANNEAL
valid_0095,CLEAN PAD OPENING,BACKSIDE ETCH CLEAN,BACKSIDE ANNEAL,CLEAN AFTER VIA ETCH,DEPOSIT BACKSIDE METAL
valid_0096,DEPOSIT BARRIER METAL,MEASURE VIA CD,POST EXPOSE BAKE,CMP INTERLAYER DIELECTRIC,DEPOSIT POLYSILICON
valid_0097,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,HARD BAKE,WAFER SORT TEST
valid_0098,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN AFTER ETCH,CLEAN AFTER FIELD ETCH,VIA OPENING INSPECTION
valid_0099,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,HARD BAKE,MEASURE LINE WIDTH
valid_0100,MEASURE VIA CD,DEPOSIT BARRIER METAL,DENSIFY OXIDE,DENSIFY DIELECTRIC,DRY WAFER
valid_0101,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,HARD BAKE,PRE ANNEAL CHECK
valid_0102,MEASURE VIA CD,DEPOSIT BARRIER METAL,DRY WAFER,DENSIFY OXIDE,DENSIFY DIELECTRIC
valid_0103,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,HARD BAKE,METAL ETCH DRY
valid_0104,DEPOSIT BARRIER METAL,MEASURE VIA CD,MEASURE PAD OPENING,BACKSIDE CLEAN,CLEAN AFTER VIA ETCH
valid_0105,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,HARD BAKE,METAL ETCH DRY
valid_0106,MEASURE VIA CD,DEPOSIT BARRIER METAL,DRY WAFER,DENSIFY OXIDE,DENSIFY DIELECTRIC
valid_0107,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,HARD BAKE,WAFER SORT TEST
