epoch,train_loss,val_loss,seconds
1,2.238976,0.418042,2.6
2,0.384916,0.347095,2.4
3,0.351724,0.339927,2.4
4,0.345110,0.338314,2.4
5,0.341599,0.336217,2.4
6,0.339436,0.334518,2.4
7,0.338062,0.333896,2.4
8,0.337317,0.333537,2.4
9,0.336474,0.332871,2.4
10,0.335813,0.332676,2.4
11,0.335193,0.331916,2.4
12,0.334348,0.332382,2.4
13,0.334358,0.332210,2.4
14,0.333840,0.332140,2.4
15,0.333524,0.331943,2.4
16,0.333389,0.331526,2.4
17,0.332230,0.332091,2.4
18,0.332376,0.332809,2.4
19,0.332465,0.332073,2.4
20,0.331507,0.332398,2.4
21,0.331517,0.334183,2.4
22,0.330976,0.332656,2.4
23,0.330428,0.332051,2.4
24,0.329841,0.333306,2.4
25,0.329568,0.334395,2.4
26,0.328955,0.334496,2.4
27,0.328547,0.334517,2.4
28,0.327552,0.335520,2.4
29,0.327130,0.335847,2.4
30,0.326582,0.335639,2.4
