name,eval_seed,val_loss,top1,top3,top5,mrr,n_layer,n_embd,family_dropout,dropout,extra,epochs,lr,seed
size_tiny@99991,99991,0.3285.,0.6887,0.9960,1.0000,0.8418,4,256,0.0,0.1,8000,20,0.0003,0
size_small@99991,99991,0.3284.,0.6880,0.9980,1.0000,0.8417,6,384,0.0,0.1,8000,20,0.0003,0
size_med@99991,99991,0.3290.,0.6777,0.9960,1.0000,0.8359,8,512,0.0,0.1,8000,20,0.0003,0
size_large@99991,99991,0.3290.,0.6870,0.9963,1.0000,0.8406,10,640,0.0,0.1,8000,20,0.0003,0
size_xl@99991,99991,0.3284.,0.6877,0.9963,1.0000,0.8405,12,768,0.0,0.1,8000,20,0.0003,0
fdrop15@99991,99991,0.3297.,0.6877,0.9963,1.0000,0.8407,8,512,0.15,0.1,8000,20,0.0003,0
drop0@99991,99991,0.3290.,0.6767,0.9960,1.0000,0.8356,8,512,0.0,0.0,8000,20,0.0003,0
drop2@99991,99991,0.3280.,0.6903,0.9983,1.0000,0.8429,8,512,0.0,0.2,8000,20,0.0003,0
data1k@99991,99991,0.3329.,0.6847,0.9960,1.0000,0.8393,8,512,0.0,0.1,1000,20,0.0003,0
data20k@99991,99991,0.3280.,0.6830,0.9983,1.0000,0.8391,8,512,0.0,0.1,20000,20,0.0003,0
data40k@99991,99991,0.3275.,0.6843,0.9960,1.0000,0.8401,8,512,0.0,0.1,40000,20,0.0003,0
ep40@99991,99991,0.3285.,0.6667,0.9983,1.0000,0.8311,8,512,0.0,0.1,8000,40,0.0003,0
ep60@99991,99991,0.3284.,0.6840,0.9957,1.0000,0.8394,8,512,0.0,0.1,8000,60,0.0003,0
lr6e4@99991,99991,0.3291.,0.6803,0.9963,1.0000,0.8377,8,512,0.0,0.1,8000,20,0.0006,0
lr1e3@99991,99991,0.3289.,0.6723,0.9963,1.0000,0.8334,8,512,0.0,0.1,8000,20,0.001,0
seed1@99991,99991,0.3308.,0.6807,0.9960,1.0000,0.8374,8,512,0.0,0.1,8000,20,0.0003,1
seed2@99991,99991,0.3289.,0.6840,0.9960,1.0000,0.8390,8,512,0.0,0.1,8000,20,0.0003,2
seed3@99991,99991,0.3299.,0.6820,0.9963,1.0000,0.8380,8,512,0.0,0.1,8000,20,0.0003,3
seed4@99991,99991,0.3307.,0.6893,0.9967,1.0000,0.8423,8,512,0.0,0.1,8000,20,0.0003,4
